Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
4,23-08-25,AD,NEO4+ENRO7,,,,,,
26,14-09-25,AI,BIO4+ENRO6,,,,,,
2894,6.0,4,223,50.8,-639,12-11-23,AD,BIOF3+ENRO6,
2905,6.0,4,257,35.3,****,10-06-22,PI,BIO3+ENR4+MULT5,
2913,5.9,3,386,0.0,-816,7-12-22,AD,NEO3+ENR4+MUL4,
67,8-05-25,PI,NEO4+ENRO7,,,,,,
2924,5.9,4,374,29.3,-461,9-12-23,PI,MEL3+GENTA6,
2927,5.9,4,265,37.5,****,11-05-22,AD,BIO+ENR5,
12,13-07-25,PD,NEO4+ENRO7+ANT4,,,,,,
38,8-08-25,PD,NEO4+ANTIMAS6,,,,,,
2936,5.9,4,279,30.9,-749,30-05-23,PD,BIO+ENR4,+ENRLA1+MULT5
2948,5.8,4,296,42.6,-405,21-04-24,AI,NEO6+ENRO4,
2950,5.8,4,408,34.0,-954,30-06-22,PD,ENRO3,ENROLA2+MULT5
2962,5.7,4,212,47.4,-735,19-08-23,PI,NEO+ENRO4,+MEL3+GENT5
2972,5.7,3,325,41.5,52,23-06-25,AD,BIO4+ENRO6+ANT4,
2991,5.5,3,528,30.0,-657,24-12-22,PD,BIO+ENR4+,NE2+MUL5+ENRLA2
92,11-01-25,AD,NE+EN4+GE+ME+A6,,,,,,
2995,5.4,3,549,26.0,-768,14-08-22,AI,NEO4+MULT5,
310,27-07-25,AI,NEO4+ENR6+ANT4,,,,,,
2997,5.4,4,221,40.7,-810,27-05-23,AD,MEL3+ENRO4+MUL3,
3000,5.4,3,316,0.0,-446,20-02-24,AI,NEO4+ENRO6,
3018,5.1,3,321,41.9,-333,7-06-24,AI,BI4+EN7+NE4+AN6,
3020,5.1,3,289,40.4,-848,10-02-23,PD,NEOG4+ENRO5,
3023,5.1,3,410,28.9,114,31-05-25,PD,NEO4+ENRO6,
207,1-09-25,PD,BIO4+ENRO6,,,,,,
3033,5.0,3,254,46.4,-204,20-12-24,PD,BIO4+ENRO6,
12,24-07-25,PD,AI,BIO4+ENRO7,,,,,
3035,5.0,3,274,35.4,-374,13-06-24,PD,NEO4+ENRO7,
3041,5.0,3,310,45.7,-718,30-05-23,AI,NEO4+MULT5,
95,20-08-25,AI,NEO4+ENRO6,,,,,,
3043,5.0,3,314,43.9,-730,14-05-23,PI,ME+GEN+NEO4+,ENRLA1+ENR4+MU5
86,7-08-25,PD,MEL4+GENT7,,,,,,
3052,4.9,3,252,41.9,44,27-08-25,AD,BIO4+ENRO6,
3058,4.9,2,655,24.3,-333,9-07-23,AD,BIO+ENR4+ENR,LA2+MEL4+GENT6
7,13-06-24,PI,NEO4+ENRO7,,,,,,
3065,4.9,2,436,0.0,-196,29-06-24,PI,NEO4+ENRO6,
3073,4.8,3,366,39.4,-734,19-03-23,AI+AD,NEOG4+ENRO5,
3080,4.8,3,258,46.8,-95,4-04-25,PD,BIO4+ANTIMASTI6,
13,21-07-25,AI,NEO+ENR+ME4+GE5,,,,,,
3086,4.7,3,293,39.5,-596,16-10-23,PI,NEOG4+ENRO6,
23,26-06-25,PI,BIO4+ENRO6,,,,,,
3087,4.7,2,301,0.0,-619,15-09-23,PI,NEO+ENRO4,+MEL2+LINALTEN4
3094,4.7,3,249,49.9,-591,4-12-23,PD,NEOG4+ENRO6,
3096,4.7,3,273,40.1,-723,1-07-23,PD,MEL+GENT+ENR4,
3110,4.6,2,323,0.0,-430,29-02-24,PI,BIOF4+ENRO6,
3111,4.5,3,239,47.5,-674,22-09-23,PI,NEO+ENRO4,+MEL1+GENT4
53,18-09-25,PI,BIO5+ENRO5,,,,,,
3117,4.4,2,394,36.6,147,19-07-25,PD,BIO4+ENRO6,
3120,4.3,2,377,37.3,-118,13-11-24,AI,BIO4+ENR6+ANTI5,
112,1-07-25,AI,BIO4+ENRO7+ANT6,,,,,,
167,25-08-25,AI,MEL4+GENT6,,,,,,
189,16-09-25,PD,NEO4+ENR6+ANT1,,,,,,
3123,4.3,2,304,0.0,8,31-05-25,AD,BIO4+ENRO6,
3124,4.3,2,355,37.2,-320,17-05-24,PI,NEO4+ENRO6,
3126,4.3,2,216,41.3,-134,7-04-25,PD,NEO4+ENRO6,
3143,4.2,2,412,35.0,-249,31-05-24,PD,BI4+EN6+NE4+AN6,
3148,4.2,2,321,38.4,-446,15-02-24,PD,N4+EN12+G+M4+B3,
126,9-09-25,PI,NEO4+ENRO6,,,,,,
3163,4.1,2,401,34.3,-232,28-06-24,PI,NEO4+ENRO6,
178,12-08-25,PD,NEO4+ENRO6,,,,,,
3170,4.0,2,317,39.1,96,14-08-25,PD,BIO4+ENR7+ANT5,
3172,4.0,2,387,36.6,-349,17-03-24,PD,BIOF4+EN6+ENLA1,
17,18-03-25,AI,NEO4+ENRO6,,,,,,
3174,4.0,2,518,25.1,19,9-11-24,AD,BIO4+ENRO7,
3177,4.0,2,279,41.5,-292,29-08-24,AI,NEO4+ENRO6,
3184,3.9,2,256,41.5,-166,25-01-25,AD,NEO3+ENRO6,
3200,3.8,2,272,42.5,47,10-08-25,PI,BIO4+ENRO6,
3212,3.8,2,273,45.2,-270,26-09-24,PD,BIO4+ENRO6,
3214,3.8,2,261,41.4,34,8-08-25,PI,NEO4+ENRO6,
3215,3.8,2,303,43.5,-122,22-01-25,PD,NEO4+ENRO7,
3224,3.7,2,249,40.3,-340,11-08-24,PI,NEO4+ENRO6,
3230,3.6,2,208,42.2,-337,24-09-24,AI,BIO4+ENRO6,
3231,3.6,1,468,31.2,31,10-01-25,PI,NEO4+ENRO6,
67,15-02-25,PI,NEO4+ENRO6,,,,,,
3241,3.6,2,209,29.5,-119,29-04-25,PD,BIO4+ENRO7,
3242,3.6,2,267,38.5,-180,31-12-24,AI,BIO4+ENRO6,
3246,3.6,2,264,34.8,34,5-08-25,PI,NEO4+ERNO7+ANT4,
3251,3.5,1,540,29.6,39,7-11-24,PI,BIO4+ENRO6,
3252,3.5,1,414,0.0,-55,9-12-24,AD,NEO4+ENRO6,
3255,3.5,2,231,43.2,-369,31-07-24,PI,NEO4+ENRO5,
3259,3.5,2,249,36.8,-130,9-03-25,AD,BIO4+ENRO6,
3266,3.4,1,353,0.0,-140,15-11-24,AI,BIOF4+ENRO6,
3271,3.3,1,312,0.0,-151,15-12-24,AI,NEO4+ENRO6,
3272,3.3,1,538,30.1,102,11-01-25,AD,BIO4+ENRO6,
3275,3.3,1,523,28.6,2,18-10-24,PD,NEO4+ENRO6,
3279,3.2,1,530,27.5,234,31-05-25,PD,BIO4+ENRO6,
3283,3.2,1,515,29.9,166,8-04-25,PI,BIO4+ENRO6,
3286,3.2,1,446,34.9,144,25-05-25,PD,NEO4+ENRO7,
3289,3.2,1,460,30.7,5,23-12-24,PI,NEO4+ENRO6,
3292,3.1,1,436,37.7,166,26-06-25,PD,NEO4+ENRO6,
3307,3.0,1,433,29.7,109,3-05-25,AD,NEO4+ENRO6,
3314,3.0,1,381,30.4,99,14-06-25,PI,BIO4+ENRO6,
3323,3.0,1,417,28.8,9,8-02-25,PI,NEO4+ENRO6,
39,10-03-25,PI,BIO4+ENRO6,,,,,,
49,20-03-25,PI,MEL3+ANTIMAS6,,,,,,
3402,2.5,1,233,26.9,9,11-08-25,PI,NEO3+ENRO7,
15%,4.9,3,343,32.5,-396,,,,
