Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14
3522,55,19.7,ROCKETFIR,INFERNO,15-09-25,189,SHEEPSTER,2,***,,,,,
55,20.6,194,2,,,,,,,,,,,
3484,77,21.6,REVELATIO,LEGENDAIR,1-09-25,203,SHEEPSTER,1,***,,,,,
77,21.6,REVELATIO,LEGENDAIR,1-09-25,203,SHEEPSTER,1,,,,,,,
83%,20.0,195,2,,,,,,,,,,,
3420,7,27.5,Preñ,CAPONE,SEX,26-12-24,PACE,SEX,1,11-02-25,S,1-10-25-173,22.1,
3422,7,27.3,Preñ,RAGER-RED,6-01-25,ACETYLENE,1,11-02-25,S,12-10-25-162,22.3,,,
3431,7,26.6,Preñ,HECKER,SEX,20-01-25,PACE,SEX,1,25-02-25,S,26-10-25-148,22.1,
3406,26,29.7,Preñ,DIAMONDBAC,3-03-25,TENTASTIC,4,8-04-25,S,7-12-25-106,26.6,,,
3416,26,27.7,Preñ,CAPONE,SEX,16-03-25,PARFECT,SE,3,22-04-25,S,20-12-25,-93,25.0
3417,26,27.6,Preñ,CAPONE,SEX,10-03-25,PACE,SEX,1,22-04-25,S,14-12-25,-99,24.7
3418,26,27.6,Preñ,RAGER-RED,3-03-25,PACE,SEX,1,8-04-25,S,7-12-25-106,24.4,,
3421,26,27.4,Preñ,SPARK,17-03-25,PACE,SEX,2,22-04-25,S,21-12-25,-92,24.8,
3423,26,27.1,Preñ,RAGER-RED,30-03-25,TENTASTIC,3,6-05-25,S,3-01-26,-79,24.9,,
3426,26,27.0,Preñ,PARFECT,SE,24-01-25,PACE,SEX,1,11-03-25,S,30-10-25-144,22.6,
3427,26,26.9,Preñ,RAGER-RED,17-03-25,PARFECT,SE,2,22-04-25,S,21-12-25,-92,24.3,
3430,26,26.7,Preñ,HECKER,SEX,14-03-25,PACE,SEX,1,22-04-25,S,18-12-25,-95,23.9
3432,26,26.6,Preñ,HECKER,SEX,12-02-25,PARFECT,SE,2,25-03-25,S,18-11-25-125,22.8,
3434,26,26.4,Preñ,HECKER,SEX,26-01-25,PACE,SEX,1,11-03-25,S,1-11-25-142,22.0,
3435,26,26.3,Preñ,HECKER,SEX,6-04-25,PACE,SEX,1,20-05-25,S,10-01-26,-72,24.3
3437,26,25.9,Preñ,HECKER,SEX,11-03-25,PACE,SEX,1,22-04-25,S,15-12-25,-98,23.0
3438,26,25.8,Preñ,PARFECT,8-03-25,PACE,SEX,1,22-04-25,S,12-12-25-101,22.8,,
3441,26,25.3,Preñ,HECKER,SEX,6-03-25,PACE,SEX,1,22-04-25,S,10-12-25-103,22.3,
3442,26,25.3,Preñ,BANJO-P,18-04-25,TENTASTIC,2,3-06-25,S,22-01-26,-60,23.7,,
3444,26,24.9,Preñ,HECKER,SEX,21-03-25,PACE,SEX,1,6-05-25,S,25-12-25,-88,22.3
3447,26,24.6,Preñ,RENEGADE,31-03-25,PACE,SEX,1,6-05-25,S,4-01-26,-78,22.4,
3439,36,25.6,Preñ,HECKER,SEX,18-05-25,TENTASTIC,3,1-07-25,S,21-02-26,-30,24.9,
3448,36,24.4,Preñ,HECKER,SEX,12-05-25,PACE,SEX,2,17-06-25,S,15-02-26,-36,23.6
3452,36,24.1,Preñ,HECKER,SEX,20-04-25,PACE,SEX,1,3-06-25,S,24-01-26,-58,22.5
3454,36,23.9,Preñ,HECKER,SEX,13-05-25,PACE,SEX,1,17-06-25,S,16-02-26,-35,23.1
3455,36,23.9,Preñ,HECKER,SEX,19-05-25,PACE,SEX,1,1-07-25,S,22-02-26,-29,23.3
3456,36,23.8,Preñ,ENSIGN,SEX,18-04-25,VALENTINO,1,3-06-25,S,22-01-26,-60,22.2,
3458,36,23.7,Preñ,HECKER,SEX,18-04-25,TENTASTIC,1,3-06-25,S,22-01-26,-60,22.1,
3459,36,23.6,Preñ,POLICE,1-05-25,PARFECT,SE,1,17-06-25,S,4-02-26,-47,22.4,
3460,36,23.6,Preñ,HECKER,SEX,3-05-25,PACE,SEX,1,17-06-25,S,6-02-26,-45,22.4
3462,36,23.4,Preñ,HECKER,SEX,13-05-25,PACE,SEX,2,17-06-25,S,16-02-26,-35,22.6
3464,36,23.3,Preñ,ZZ,TOP,2-05-25,PACE,SEX,1,17-06-25,S,5-02-26,-46,22.1
3465,36,23.2,Preñ,RENEGADE,S,2-05-25,PACE,SEX,1,17-06-25,S,5-02-26,-46,22.0
3466,36,23.2,Preñ,RENEGADE,12-05-25,PACE,SEX,1,17-06-25,S,15-02-26,-36,22.4,
3467,36,23.2,Preñ,HECKER,SEX,18-05-25,PACE,SEX,1,1-07-25,S,21-02-26,-30,22.5
3468,36,23.2,Preñ,RENEGADE,S,24-05-25,TENTASTIC,1,1-07-25,S,27-02-26,-24,22.7,
3469,36,23.1,Preñ,HECKER,SEX,21-05-25,TENTASTIC,1,1-07-25,S,24-02-26,-27,22.6,
3450,46,24.2,Preñ,POLICE,8-06-25,HECKER,4,15-07-25,S,14-03-26,-9,24.3,,
3453,46,24.0,Preñ,LEDYARD,23-06-25,TENTASTIC,2,29-07-25,S,29-03-26,6,24.6,,
3457,46,23.8,Preñ,HECKER,SEX,28-06-25,TENTASTIC,2,12-08-25,S,3-04-26,11,24.5,
3463,46,23.3,Preñ,POLICE,2-06-25,PARFECT,SE,2,15-07-25,S,8-03-26,-15,23.1,
3471,46,22.9,Preñ,WARRIOR-RE,7-07-25,TENTASTIC,2,12-08-25,S,12-04-26,20,23.9,,
3473,46,22.6,Preñ,RENEGADE,S,3-06-25,TENTASTIC,1,15-07-25,S,9-03-26,-14,22.5,
3474,46,22.5,Preñ,LEDYARD,7-06-25,PARFECT,SE,1,15-07-25,S,13-03-26,-10,22.5,
3476,46,22.1,Preñ,WARRIOR-RE,20-06-25,PARFECT,SE,1,29-07-25,S,26-03-26,3,22.5,
3479,46,21.9,Preñ,LUCKY,SEVE,26-06-25,EIFEL,SEX,1,12-08-25,S,1-04-26,9,22.5
3481,46,21.7,Preñ,LUCKY,SEVE,1-07-25,EIFEL,SEX,1,12-08-25,S,6-04-26,14,22.5
3482,46,21.7,Preñ,LUCKY,SEVE,9-07-25,EIFEL,SEX,2,12-08-25,S,14-04-26,22,22.8
3483,46,21.6,Preñ,RENEGADE,S,26-06-25,TENTASTIC,1,12-08-25,S,1-04-26,9,22.2,
3486,46,21.5,Preñ,RENEGADE,S,7-07-25,EIFEL,SEX,1,12-08-25,S,12-04-26,20,22.5
3488,46,21.5,Preñ,RENEGADE,S,13-07-25,EIFEL,SEX,1,26-08-25,S,18-04-26,26,22.6
3489,46,21.4,Preñ,LUCKY,SEVE,7-07-25,EIFEL,SEX,1,12-08-25,S,12-04-26,20,22.3
3494,46,21.0,Preñ,LUCKY,SEVE,9-07-25,EIFEL,SEX,1,12-08-25,S,14-04-26,22,22.1
3506,55,20.7,Preñ,DMAC,SEX,20-08-25,BARKEEP,SE,2,23-09-25,S,26-05-26,64,23.1
3508,55,20.7,Preñ,DMAC,SEX,20-08-25,BARKEEP,SE,2,23-09-25,S,26-05-26,64,23.1
3516,55,20.2,Preñ,RAGER-RED,20-08-25,SHEEPSTER,1,23-09-25,S,26-05-26,64,22.6,,
3472,56,22.8,Preñ,WARRIOR-RE,31-07-25,TENTASTIC,3,9-09-25,S,6-05-26,44,24.6,,
3485,56,21.6,Preñ,LEGENDAIRY,19-07-25,EIFEL,SEX,1,26-08-25,S,24-04-26,32,22.9,
3491,56,21.2,Preñ,DMAC,SEX,20-07-25,EIFEL,SEX,1,26-08-25,S,25-04-26,33,22.6
3493,56,21.1,Preñ,LEGENDAIRY,19-07-25,EIFEL,SEX,1,26-08-25,S,24-04-26,32,22.4,
3495,56,20.9,Preñ,LEGENDAIRY,16-07-25,EIFEL,SEX,1,26-08-25,S,21-04-26,29,22.2,
3496,56,20.9,Preñ,LEGENDAIRY,26-07-25,TENTASTIC,1,9-09-25,S,1-05-26,39,22.5,,
3498,56,20.9,Preñ,DMAC,SEX,20-08-25,BARKEEP,SE,2,23-09-25,S,26-05-26,64,23.3
3499,56,20.9,Preñ,RAGER-RED,13-07-25,EIFEL,SEX,1,26-08-25,S,18-04-26,26,22.0,
3500,56,20.8,Preñ,LUCKY,SEVE,26-07-25,TENTASTIC,1,9-09-25,S,1-05-26,39,22.4,
3502,56,20.8,Preñ,LEGENDAIRY,17-07-25,EIFEL,SEX,1,26-08-25,S,22-04-26,30,22.1,
3505,56,20.7,Preñ,WARRIOR-RE,30-07-25,TENTASTIC,1,9-09-25,S,5-05-26,43,22.4,,
3509,56,20.7,Preñ,LUCKY,SEVE,24-07-25,EIFEL,SEX,1,9-09-25,S,29-04-26,37,22.2
3510,56,20.7,Preñ,RAGER-RED,1-08-25,TENTASTIC,1,9-09-25,S,7-05-26,45,22.5,,
3514,56,20.3,Preñ,DMAC,SEX,30-07-25,TENTASTIC,1,9-09-25,S,5-05-26,43,22.0,
3518,56,20.0,Preñ,HARDY,16-08-25,BARKEEP,SE,1,23-09-25,S,22-05-26,60,22.3,
3519,56,19.8,Preñ,HARDY,SEX,18-08-25,BARKEEP,SE,1,23-09-25,S,24-05-26,62,22.2
3445,77,24.9,Preñ,ZZ,TOP,31-07-25,TENTASTIC,3,9-09-25,S,6-05-26,44,26.7,
3478,77,21.9,Preñ,LEGENDAIRY,24-06-25,PARFECT,SE,1,29-07-25,S,30-03-26,7,22.5,
93%,23.5,Preñ,1,1,-25,23.0,,,,,,,,
