vaca,edad,lactacion,dias_lact,leche_24h,dias_relativo,fecha_evento,tipo,tratamiento
3283,3.2,1,515,29.9,166.0,8-04-25,PI,BIO4+ENRO6
3286,3.2,1,446,34.9,144.0,25-05-25,PD,NEO4+ENRO7
3289,3.2,1,460,30.7,5.0,23-12-24,PI,NEO4+ENRO6
3292,3.1,1,436,37.7,166.0,26-06-25,PD,NEO4+ENRO6
3307,3.0,1,433,29.7,109.0,3-05-25,AD,NEO4+ENRO6
3314,3.0,1,381,30.4,99.0,14-06-25,PI,BIO4+ENRO6
3323,3.0,1,417,28.8,9.0,8-02-25,PI,NEO4+ENRO6
3323,3.0,1,417,28.8,39.0,10-03-25,PI,BIO4+ENRO6
3323,3.0,1,417,28.8,49.0,20-03-25,PI,MEL3+ANTIMAS6
3402,2.5,1,233,26.9,9.0,11-08-25,PI,NEO3+ENRO7
